ano,%,%Pre,%P
1980,-28,,
1981,-30,,
1982,-30,,
1983,-30,,
1984,-30,,
1985,-30,,
1986,-30,,
1987,-28,,
1988,-26,,
1989,-26,,
1990,-24,,
1991,-24,,
1992,-24,,
1993,-24,,
1994,-24,,
1995,-24,,
1996,-24,,
1997,-22,,
1998,-22,,
1999,-20,,
2000,-20,,
2001,-18,,
2002,-16,,
2003,-16,,
2004,-16,,
2005,-16,,
2006,-16,,
2007,-16,,
2008,-18,,
2009,-18,,
2010,-20,,
2011,-24,,
2012,-26,,
2013,-28,,
2014,-26,,
2015,-24,,
2016,-24,,
2017,-22,,
2018,-22,,
2019,-22,,
2020,-26,-26,-26
2021,,-25,
2022,,-24,
2023,,-23,
2024,,-22,
2025,,-22,
2026,,-21,
2027,,-20,
2028,,-19,
2029,,-18,
2030,,-18,-18
2031,,-17,
2032,,-17,
2033,,-16,
2034,,-16,
2035,,-16,
2036,,-15,
2037,,-15,
2038,,-14,
2039,,-14,
2040,,-14,
2041,,-13,
2042,,-13,
2043,,-12,
2044,,-12,
2045,,-12,
2046,,-11,
2047,,-11,
2048,,-10,
2049,,-10,
2050,,-10,-10